Data,All_A_SZ_Index_Increase,All_A_SZ_Volume,All_A_SZ_Main,All_A_SZ_Large,Total_Increase,Total_Decline,Total_Increase_limit,Total_Decline_limit,SH_Index_Increase,SZ_Index_Increase
2025/4/24,-0.76,11089,-362.20,-330.89,1545,3694,64,35,0.03,-0.58
2025/4/25,0.21,11134,19.42,50.06,2832,2371,76,34,-0.07,0.39
2025/4/28,-1.29,10561,-295.22,-,1216,4110,39,52,-0.20,-0.62
2025/4/29,0.82,10219,8.78,-9.15,3557,1674,73,57,-0.05,-0.05
2025/4/30,0.88,11691,-12.55,-13.07,3443,1770,99,39,-0.23,0.51
2025/5/6,2.72,13360,389.45,256.78,4962,379,143,27,1.13,1.84
2025/5/7,0.74,14681,-402.88,-254.78,3293,1891,99,14,0.80,0.22
2025/5/8,1.07,12932,103.84,-2.47,3839,1367,104,9,0.28,0.93
2025/5/9,-1.03,11919,-566.19,-478.06,1213,4063,58,0,-0.30,-0.69
2025/5/12,1.33,13083,263.91,185.37,4112,1101,89,3,0.82,1.72
2025/5/13,-0.14,12913,-418.94,-346.68,1941,3234,70,14,0.17,-0.13
2025/5/14,0.14,13166,196.77,45.62,2328,2816,90,9,0.86,0.64
2025/5/15,-0.86,11522,-628.82,-528.92,1407,3856,76,11,-0.68,-1.62
2025/5/16,0.52,10894,-48.77,2.91,3002,2187,68,11,-0.40,-0.07
2025/5/19,0.91,10863,-113.39,-119.49,3564,1692,120,0,0.00,-0.08
2025/5/20,0.97,11695,-9.28,-8.90,3836,1380,101,9,0.38,0.77
2025/5/21,-0.40,11732,-211.73,-239.40,1615,3604,84,3,0.21,0.44
2025/5/22,-1.14,11025,-396.01,-326.02,887,4451,50,17,-0.22,-0.72
2025/5/23,-0.99,11025,-353.20,-288.07,1107,4204,51,20,-0.94,-0.85
2025/5/26,0.90,10098,-48.27,-83.72,3797,1432,85,4,-0.05,-0.41
2025/5/27,0.26,9988,-215.40,-189.45,2637,2576,95,5,-0.18,-0.61
2025/5/29,1.64,11852,335.45,170.52,4472,831,120,15,0.70,1.24
2025/5/30,-1.25,11388,-502.10,-435.52,1116,4163,53,19,-0.47,-0.85
2025/6/3,0.82,11412,6.44,58.98,3390,1783,82,12,0.43,0.16
2025/6/4,1.04,11529,78.98,12.01,3963,1238,86,2,0.42,0.87
2025/6/5,0.35,12902,21.94,-2.29,2677,2541,76,12,0.23,0.58
